time,open,high,low,close,volume,return
2014-01-23 07:00:00,550.88,556.5,550.52,553.55,68197050,
2014-01-24 07:00:00,555.66,560.19,553.46,560.19,85521800,0.011995303043988992
2014-01-27 07:00:00,560.45,560.49,556.35,556.52,65472100,-0.006551348649565414
2014-02-06 07:00:00,555.51,557.13,551.75,554.68,87875560,-0.003306260332063604
2014-02-07 07:00:00,557.71,558.51,549.37,549.76,119495580,-0.008869979087041124
2014-02-10 07:00:00,550.41,555.9,548.91,555.9,106904960,0.011168509895226997
2014-02-11 07:00:00,559.74,561.83,553.9,553.9,170844850,-0.0035977693829825075
2014-02-12 07:00:00,557.27,564.25,554.94,564.25,120916320,0.01868568333634224
2014-02-13 07:00:00,567.58,570.66,565.27,570.18,145697620,0.01050952591936194
2014-02-14 07:00:00,573.09,575.66,569.38,572.22,136937230,0.003577817531306149
2014-02-17 07:00:00,571.91,572.85,568.49,570.2,159214880,-0.003530110796546748
2014-02-18 07:00:00,570.75,574.56,570.62,574.56,154772030,0.0076464398456679294
2014-02-19 07:00:00,578.53,578.76,574.0,578.12,153445030,0.006196045669730088
2014-02-20 07:00:00,579.64,584.1,565.45,571.04,254367230,-0.012246592402961443
2014-02-21 07:00:00,568.29,573.47,565.33,570.57,116346370,-0.0008230596805826051
2014-02-24 07:00:00,571.93,576.58,570.1,576.58,112732880,0.010533326322800018
2014-02-25 07:00:00,575.49,586.2,575.49,586.2,141747900,0.01668458843525622
2014-02-26 07:00:00,590.33,590.33,582.96,589.81,153761340,0.006158307744796865
2014-02-27 07:00:00,588.25,595.9,584.79,584.79,223033340,-0.008511215476170286
2014-02-28 07:00:00,585.85,591.36,581.63,586.48,116336020,0.002889926298329515
2014-03-03 07:00:00,586.65,586.93,573.37,573.38,141965580,-0.022336652571272708
2014-03-04 07:00:00,568.56,572.18,563.55,569.97,122493930,-0.00594719034497182
2014-03-05 07:00:00,576.86,576.86,572.3,574.94,102976780,0.008719757180202459
2014-03-06 07:00:00,576.17,579.03,574.68,578.56,131565670,0.0062963091800882776
2014-03-07 07:00:00,580.63,582.03,579.47,579.75,149392490,0.002056830752212413
2014-03-10 07:00:00,580.84,584.01,580.02,583.69,140462540,0.006796032772746985
2014-03-11 07:00:00,585.1,588.74,582.76,588.5,158741000,0.008240675701142619
2014-03-12 07:00:00,590.94,595.83,590.02,590.02,168708960,0.002582837723024589
2014-03-13 07:00:00,593.82,595.22,590.62,595.22,130339060,0.008813260567438475
2014-03-14 07:00:00,596.2,600.66,595.1,596.83,160384630,0.0027048822284196916
2014-03-17 07:00:00,602.33,602.33,599.21,600.36,161239500,0.005914582041787408
2014-03-18 07:00:00,602.01,602.89,598.15,599.85,193120370,-0.0008494903058164915
2014-03-19 07:00:00,600.73,605.74,600.42,605.59,188807510,0.009569058931399477
2014-03-20 07:00:00,607.39,608.19,600.26,600.26,183319960,-0.008801334236034353
2014-03-21 07:00:00,600.48,607.22,600.48,601.75,224867350,0.002482257688334988
2014-03-24 07:00:00,606.55,609.2,604.18,607.55,189271920,0.009638554216867323
2014-03-25 07:00:00,609.01,609.46,601.85,601.85,245217840,-0.00938194387293212
2014-03-26 07:00:00,603.54,603.68,587.52,588.06,246459570,-0.022912685885187467
2014-03-27 07:00:00,588.94,591.7,582.81,590.14,146465260,0.0035370540421046925
2014-03-28 07:00:00,592.82,595.7,590.59,594.29,116220650,0.007032229640424159
2014-03-31 07:00:00,596.41,597.22,591.57,591.57,117084100,-0.004576890070504103
2014-04-01 07:00:00,590.93,593.03,582.3,583.85,167165310,-0.01305001943979589
2014-04-02 07:00:00,584.17,586.5,574.4,581.67,142309840,-0.0037338357454826943
2014-04-03 07:00:00,584.45,590.91,582.83,589.44,99127880,0.013358089638454862
2014-04-04 07:00:00,589.9,593.72,588.34,593.04,92353580,0.006107491856677472
2014-04-07 07:00:00,595.72,602.55,595.35,600.57,108560420,0.012697288547147023
2014-04-08 07:00:00,600.71,603.25,598.52,603.25,109210640,0.004462427360673926
2014-04-10 07:00:00,605.4,608.89,600.43,601.33,110558340,-0.003182760049730504
2014-04-11 07:00:00,597.87,602.01,594.96,600.57,104068010,-0.0012638650990304257
2014-04-14 07:00:00,602.67,602.7,596.05,596.11,96128090,-0.007426278368882988
2014-04-15 07:00:00,596.0,597.99,586.09,586.09,126833620,-0.01680897820871985
2014-04-16 07:00:00,583.64,585.51,567.61,574.29,143009880,-0.02013342660683526
2014-04-17 07:00:00,580.39,583.51,575.83,580.31,86527800,0.010482508836998639
2014-04-18 07:00:00,580.89,580.89,565.33,565.33,106747120,-0.02581378918164412
2014-04-21 07:00:00,564.21,568.44,558.14,558.14,93868870,-0.012718235366953934
2014-04-22 07:00:00,560.63,569.87,556.47,569.87,84120410,0.021016232486472886
2014-04-23 07:00:00,569.83,573.39,567.04,569.36,63157600,-0.0008949409514450446
2014-04-24 07:00:00,568.38,571.57,566.94,570.46,48621460,0.0019319938176198814
2014-04-25 07:00:00,571.71,580.74,571.71,578.92,58226790,0.014830137082354478
2014-04-28 07:00:00,579.05,580.7,573.1,573.1,53208230,-0.010053202515027837
2014-04-29 07:00:00,570.64,578.21,570.64,578.0,45941890,0.008549991275519142
2014-05-05 07:00:00,578.45,580.11,564.47,564.85,73606800,-0.022750865051903046
2014-05-06 07:00:00,561.86,562.36,545.97,555.11,98267720,-0.017243515977693247
2014-05-07 07:00:00,558.04,561.56,553.21,559.97,46793760,0.008755021527264928
2014-05-08 07:00:00,550.75,550.75,525.37,527.09,128293230,-0.05871743129096196
2014-05-09 07:00:00,522.82,542.56,522.7,542.46,115488640,0.029160105484831833
2014-05-12 07:00:00,536.82,536.82,512.25,517.05,94224400,-0.046842163477491594
2014-05-13 07:00:00,508.76,518.45,508.51,513.91,92140330,-0.006072913644715183
2014-05-14 07:00:00,510.16,529.59,509.82,529.53,106635850,0.030394427039754035
2014-05-15 07:00:00,529.39,537.27,512.4,524.05,125655190,-0.01034879987913817
2014-05-16 07:00:00,522.0,529.49,519.39,529.49,79135650,0.010380688865566423
2014-05-19 07:00:00,530.31,534.68,525.82,533.04,94450040,0.006704564769872912
2014-05-20 07:00:00,531.0,537.93,527.69,537.52,102485880,0.008404622542398377
2014-05-21 07:00:00,537.95,543.93,533.19,543.88,99864170,0.011832117874683856
2014-05-22 07:00:00,543.35,547.2,541.43,541.73,122207050,-0.003953077884827461
2014-05-23 07:00:00,542.44,545.3,540.51,541.49,84206790,-0.00044302512321636733
2014-05-26 07:00:00,541.49,544.93,538.73,544.06,70350070,0.0047461633640508705
2014-05-27 07:00:00,543.55,552.75,542.49,552.75,121729360,0.01597250303275377
2014-05-28 07:00:00,554.32,557.93,553.03,557.34,107355240,0.00830393487109915
2014-05-29 07:00:00,556.3,562.33,555.32,558.45,114247620,0.0019916029712563343
2014-05-30 07:00:00,558.78,565.05,557.2,562.02,81363300,0.006392694063926729
2014-06-02 07:00:00,560.29,563.12,554.44,556.8,78700670,-0.009287925696594423
2014-06-03 07:00:00,557.34,560.62,554.96,558.76,53295920,0.003520114942528796
2014-06-04 07:00:00,559.13,559.19,550.23,553.46,67155660,-0.009485288853890661
2014-06-05 07:00:00,552.2,553.96,548.47,551.1,53199850,-0.004264084125320755
2014-06-06 07:00:00,553.62,559.04,551.8,559.04,59778290,0.014407548539284942
2014-06-09 07:00:00,561.25,571.83,558.64,565.61,107736660,0.011752289639381797
2014-06-10 07:00:00,566.31,571.73,564.32,566.89,78132940,0.0022630434398260846
2014-06-11 07:00:00,567.77,573.05,566.51,570.36,75171290,0.006121116971546492
2014-06-12 07:00:00,571.19,574.75,568.58,573.77,90147440,0.005978680131846437
2014-06-13 07:00:00,573.58,577.27,573.03,574.48,67624300,0.0012374296320825096
2014-06-16 07:00:00,575.2,575.87,571.76,572.37,76547350,-0.0036728867845704505
2014-06-17 07:00:00,571.8,573.15,567.58,572.25,103158970,-0.0002096545940563077
2014-06-18 07:00:00,571.74,575.03,570.03,570.03,95680950,-0.0038794233289646263
2014-06-19 07:00:00,564.93,569.41,558.65,567.35,122009510,-0.004701506938231237
2014-06-20 07:00:00,568.45,571.76,560.78,560.78,116175890,-0.011580153344496469
2014-06-23 07:00:00,561.97,567.71,561.97,565.92,47939680,0.009165804771924746
2014-06-24 07:00:00,565.47,570.37,565.12,569.74,56799240,0.00675007068136857
2014-06-25 07:00:00,570.33,574.62,569.27,572.27,87749020,0.004440622038122566
2014-06-26 07:00:00,572.23,578.29,570.33,576.4,111053090,0.007216873154280323
2014-06-27 07:00:00,576.29,580.75,575.1,578.82,59803530,0.004198473282442938
2014-06-30 07:00:00,578.82,582.26,577.76,578.13,63785010,-0.0011920804395150197
2014-07-01 07:00:00,578.93,582.16,577.3,578.07,101593980,-0.00010378288620194187
2014-07-02 07:00:00,578.9,581.69,576.88,578.8,107018060,0.001262822841524125
2014-07-03 07:00:00,581.24,585.02,580.55,585.02,127121960,0.010746371803731947
2014-07-04 07:00:00,585.66,591.38,585.66,589.35,117186000,0.007401456360466296
2014-07-07 07:00:00,592.23,594.84,589.75,590.69,114945340,0.0022736913548826454
2014-07-08 07:00:00,591.63,593.4,588.54,591.47,95623320,0.001320489596912111
2014-07-09 07:00:00,591.82,593.42,590.46,591.6,99772410,0.0002197913672714602
2014-07-10 07:00:00,591.21,591.6,581.49,584.88,148042030,-0.011359026369168412
2014-07-11 07:00:00,584.29,586.57,580.54,582.77,76665490,-0.003607577622760205
2014-07-14 07:00:00,583.55,586.23,581.99,586.23,62767180,0.005937162173756505
2014-07-15 07:00:00,587.92,590.09,587.68,589.31,98238770,0.005253910581171084
2014-07-16 07:00:00,594.13,594.29,589.68,589.68,134145840,0.0006278529127283772
2014-07-17 07:00:00,588.99,591.42,586.07,590.37,94389680,0.00117012617012624
2014-07-18 07:00:00,590.9,596.26,589.33,596.26,120565300,0.009976794213798046
2014-07-21 07:00:00,598.11,604.64,596.96,601.04,109316960,0.008016637037533858
2014-07-22 07:00:00,599.3,600.93,594.85,597.98,89952820,-0.005091175296153216
2014-07-23 07:00:00,599.56,599.56,594.1,597.5,58825520,-0.0008027024315194753
2014-07-24 07:00:00,597.03,602.49,597.03,602.06,84773630,0.007631799163179798
2014-07-25 07:00:00,603.54,605.78,600.14,600.14,94267820,-0.0031890509251568666
2014-07-28 07:00:00,599.13,599.35,587.78,589.45,106264460,-0.017812510414236593
2014-07-29 07:00:00,590.57,592.24,585.75,592.24,60692450,0.0047332258885401934
2014-07-30 07:00:00,591.15,593.58,588.53,589.33,73191400,-0.004913548561393921
2014-07-31 07:00:00,589.35,596.11,587.68,596.07,61274970,0.011436716271019609
2014-08-01 07:00:00,594.66,596.8,592.38,593.9,59841150,-0.0036405120204003882
2014-08-04 07:00:00,592.04,600.52,592.04,599.04,71125720,0.008654655665937039
2014-08-05 07:00:00,600.46,607.73,599.1,607.73,83711690,0.01450654380341887
2014-08-06 07:00:00,607.95,610.88,605.63,606.7,87400600,-0.0016948315863952734
2014-08-07 07:00:00,603.94,608.42,603.13,607.62,87858760,0.0015164001977912012
2014-08-08 07:00:00,607.18,610.09,604.08,605.43,101520160,-0.0036042263256641505
2014-08-11 07:00:00,602.78,607.16,600.48,602.13,74249570,-0.005450671423616216
2014-08-12 07:00:00,600.52,604.89,598.71,601.78,78520730,-0.0005812698254530346
2014-08-13 07:00:00,601.03,604.51,599.64,602.76,93087280,0.0016285021104058828
2014-08-14 07:00:00,605.03,607.84,604.08,605.25,109406300,0.004130997411905257
2014-08-15 07:00:00,607.03,608.46,603.24,604.24,101218780,-0.0016687319289550029
2014-08-18 07:00:00,605.42,607.79,603.33,605.08,123678840,0.0013901760889714065
2014-08-19 07:00:00,607.27,609.04,603.61,604.64,125366090,-0.0007271765716930778
2014-08-20 07:00:00,604.3,608.72,602.81,606.7,98377830,0.003406985975125787
2014-08-21 07:00:00,608.91,616.96,608.58,612.94,140343470,0.010285149167628127
2014-08-22 07:00:00,614.51,622.97,614.51,620.14,151323250,0.011746663621235331
2014-08-25 07:00:00,622.71,629.58,622.16,625.88,156793900,0.009255974457380578
2014-08-26 07:00:00,627.13,631.17,625.1,629.06,129151110,0.0050808461685944994
2014-08-27 07:00:00,630.84,632.25,624.68,628.77,152313560,-0.0004610053095093214
2014-08-28 07:00:00,627.41,635.94,626.32,632.03,134519830,0.005184725734370232
